Time,Top.Head,Top.Head,Top.Head,Rear.Head,Rear.Head,Rear.Head,R.Scapula,R.Scapula,R.Scapula,Sacral,Sacral,Sacral,L.Shoulder,L.Shoulder,L.Shoulder,L.Elbow,L.Elbow,L.Elbow,L.Wrist,L.Wrist,L.Wrist,L.ASIS,L.ASIS,L.ASIS,L.Knee,L.Knee,L.Knee,L.Ankle,L.Ankle,L.Ankle,L.Toe,L.Toe,L.Toe,R.Shoulder,R.Shoulder,R.Shoulder,R.Elbow,R.Elbow,R.Elbow,R.Wrist,R.Wrist,R.Wrist,R.ASIS,R.ASIS,R.ASIS,R.Knee,R.Knee,R.Knee,R.Ankle,R.Ankle,R.Ankle,R.Toe,R.Toe,R.Toe
Unnamed: 1_level_1,X2,Y2,Z2,X3,Y3,Z3,X22,Y22,Z22,X12,Y12,Z12,X4,Y4,Z4,X6,Y6,Z6,X8,Y8,Z8,X10,Y10,Z10,X13,Y13,Z13,X15,Y15,Z15,X17,Y17,Z17,X5,Y5,Z5,X7,Y7,Z7,X9,Y9,Z9,X11,Y11,Z11,X14,Y14,Z14,X16,Y16,Z16,X18,Y18,Z18
0.0,691.4681400000001,-102.33128,1724.50195,666.94678,-100.99263,1625.9238300000002,674.5521200000001,-227.78821000000002,1357.75635,,,,698.5604900000001,122.79372,1437.25513,605.90283,229.83716,1252.7323,659.64899,436.49487,1068.15942,757.9137,79.70889,963.6369599999999,704.67401,120.8912,471.55499000000003,564.63367,52.38165,102.84988,770.29388,109.94395,2.54561,804.2856400000001,-272.78156,1419.70105,753.51935,-402.68405,1207.6438,876.10205,-503.99429000000003,991.27356,840.80658,-116.62355,954.70166,838.13257,-150.5363,483.0939,815.07111,-178.03127,64.93099000000001,977.21954,4.6391800000000005,-2.71397
0.017,686.72961,-97.73016,1724.08435,662.26147,-96.7542,1625.78918,670.93982,-224.54372,1358.57166,,,,694.51605,126.0694,1436.22046,601.1488,233.25702,1251.52954,659.3302,438.24158,1066.83801,751.86658,82.33221,963.6301900000001,697.65137,119.16051999999999,471.80295,563.56519,51.258340000000004,100.04852,770.078,110.2302,3.3683300000000003,800.6256099999999,-268.98596000000003,1420.01843,749.87598,-399.28091,1208.44434,873.14465,-498.52332,991.24896,834.97321,-113.19353000000001,954.77173,835.69116,-147.6494,483.03284,814.99927,-177.99903999999998,65.04115999999999,977.2647699999999,4.69292,-2.8022
0.025,684.95844,-95.65383,1723.77002,661.2631200000001,-94.43165,1625.36572,669.12915,-223.02548,1359.14282,604.02838,-87.09695,993.56787,692.26697,128.2374,1435.60681,599.94824,235.093,1250.60815,658.19733,439.5408,1066.10217,748.2993799999999,83.91663,963.68854,694.98901,117.95816,471.21677,562.82971,50.62331,99.08866,769.62402,110.3224,3.45916,799.76599,-266.84521,1420.03918,748.3056,-397.36514,1208.77856,872.30994,-495.42925999999994,991.47125,831.98334,-111.76998999999999,954.72546,834.46753,-146.55615,483.56622000000004,814.93573,-177.89993,65.51335,977.2302199999999,4.67933,-2.74495
0.033,682.65143,-93.12393,1723.4434800000001,657.51935,-93.11112,1625.02576,667.68799,-221.2894,1359.2821,,,,690.25708,129.95058,1435.11926,597.5238,236.61427,1250.01978,657.3740799999999,440.39404,1064.81604,744.9613,85.28739,963.6560099999999,691.53638,116.72946999999999,471.34630999999996,562.43317,50.17053,97.96788000000001,769.64465,110.01743,3.4070199999999997,798.23273,-264.57349,1420.00342,747.02344,-395.65085,1208.85925,871.1618,-492.49411,990.8338,829.47955,-110.73928000000001,954.3680400000001,832.56836,-145.44695,483.62172999999996,814.76147,-177.76619,65.64544000000001,977.2647699999999,4.69292,-2.8022
0.042,680.90771,-90.70929,1723.32813,658.12762,-89.83610999999999,1624.3075,664.64075,-219.91468999999998,1360.23999,,,,687.96027,132.52968,1434.5863,595.8969099999999,238.4693,1248.97717,658.09369,440.70462000000003,1063.58875,742.06073,86.67116999999999,963.55865,690.35046,114.89016000000001,471.17065,562.3811,49.649229999999996,97.42262,769.55164,110.02501000000001,3.3293800000000005,796.47156,-262.60544,1419.8894,745.7656900000001,-393.608,1209.07104,870.35376,-488.27774000000005,991.1080900000001,825.47516,-109.08171000000002,954.4862099999999,831.21613,-144.59875,484.12494000000004,814.63385,-177.63278,65.93118,977.1987300000001,4.7393,-2.75368
0.05,679.24487,-87.97004,1723.19385,654.18652,-88.23037,1624.80872,663.07336,-218.02432000000002,1360.6375699999999,,,,686.1991,134.41398999999998,1433.87634,593.16791,240.34041000000002,1248.24561,656.7559200000001,441.42032,1062.48792,738.39337,87.90096,963.70929,687.79309,113.27581,470.2771,562.20776,49.727090000000004,96.44981,769.6220099999999,110.27266000000002,3.36562,795.20325,-260.59781,1420.0249,744.14758,-391.67627000000005,1209.3610800000001,868.9967,-484.25967,990.53577,822.5752,-107.92878999999999,954.1810300000001,829.94482,-142.82956000000001,484.33743,814.57043,-177.51144,66.49805,977.35364,4.6826,-2.85321
0.057999999999999996,676.2481700000001,-85.36848,1722.58667,652.67151,-85.61270999999999,1623.8053,661.11725,-216.40099999999998,1361.14038,591.54175,-82.40771,993.91724,684.18616,136.40403999999998,1433.13025,591.45532,241.98862000000003,1247.23352,656.8145099999999,441.8793,1060.75525,735.4820599999999,89.15649,963.68707,685.41479,112.31648,470.79477,561.3761599999999,48.84787,95.43403,769.7168,109.83311,3.02983,793.60315,-258.22592000000003,1420.10156,743.04309,-389.6579,1209.41931,867.9022199999999,-480.08603,989.98035,819.24225,-107.2782,954.5546300000001,828.32892,-141.6924,484.20325,814.44672,-176.79553,66.90364,977.2663,4.75565,-2.86214
0.067,674.6926900000001,-82.60858,1722.31616,651.09869,-82.89603000000001,1623.25781,659.11023,-214.49731,1361.79724,587.99634,-81.98481,994.1071199999999,682.21637,138.69279,1432.62903,589.37665,243.95491,1246.37109,655.71796,442.52512,1059.57214,732.41339,90.11986999999999,963.8563199999999,682.95508,110.24593999999999,470.86422999999996,561.9544099999999,48.349940000000004,94.66605,769.5260599999999,109.95591,2.741,791.87488,-255.5092,1420.3833,741.76263,-387.76385,1209.5813,867.18109,-476.30521,989.84369,816.51276,-106.45325,955.23425,827.30896,-139.65883,484.34241,814.1514900000001,-176.76744,67.13656,977.29034,4.78052,-2.9077
0.075,672.02844,-79.72152,1722.1451399999999,650.02197,-80.35611999999999,1623.25354,657.66974,-212.89325,1362.41858,,,,680.0758099999999,140.8045,1431.9375,587.4635,245.63794,1245.6781,655.23608,443.04312000000004,1057.70251,729.2981,91.24139,963.64728,680.4749099999999,108.78408,470.31600999999995,562.09601,47.91049,94.16978,769.53406,109.96725,2.4563,790.7412099999999,-253.27254,1420.54016,740.42877,-385.23145,1209.9736300000002,865.99469,-471.73330999999996,989.3435099999999,811.60535,-104.71613,954.08734,826.86639,-139.1082,485.17804,814.16473,-176.21423000000001,67.33794,977.3709699999999,4.88959,-2.88777
