X5,Y5,Z5
804.2856400000001,-272.78156,1419.70105
800.6256099999999,-268.98596000000003,1420.01843
799.76599,-266.84521,1420.03918
798.23273,-264.57349,1420.00342
796.47156,-262.60544,1419.8894
795.20325,-260.59781,1420.0249
793.60315,-258.22592000000003,1420.10156
791.87488,-255.5092,1420.3833
790.7412099999999,-253.27254,1420.54016
789.07532,-251.30319,1420.72595
787.414,-248.50856000000002,1420.9465300000002
786.38098,-245.83567999999997,1421.2763699999998
784.763,-243.58211,1421.76709
783.2467,-241.2464,1422.25281
781.02911,-238.61646000000002,1422.81567
779.6956799999999,-236.32342999999997,1423.30518
777.55475,-234.54459,1423.95532
776.02203,-231.74866,1424.71741
773.60077,-229.48889,1425.4520300000001
771.3659700000001,-227.86397000000002,1426.25403
769.81061,-226.12296,1427.26404
767.2843,-224.13135,1428.39746
765.44318,-222.24053999999998,1429.59924
763.53143,-220.46782000000002,1430.92102
761.26782,-218.93546,1431.94812
759.93201,-216.81482999999997,1433.2821
758.0083599999999,-215.76288,1434.5374800000002
755.81262,-213.98019,1435.7625699999999
753.6145,-212.45314,1436.9906
751.79333,-210.85301,1437.94983
749.65265,-209.19531,1439.57178
747.6933,-207.63753,1440.8845199999998
745.39801,-206.23154,1441.9699699999999
743.5718400000001,-204.62892,1442.86121
741.75458,-203.19473,1444.11633
740.3489400000001,-202.0472,1445.2951699999999
738.10492,-200.59731000000002,1446.06714
737.51825,-199.00038,1446.64343
735.6091299999999,-197.75194,1447.37085
733.95215,-196.31178,1448.29749
732.90729,-194.80321999999998,1448.73071
731.3786,-193.32799,1449.2708699999998
729.94019,-192.03885,1449.92896
728.95447,-191.31018,1450.63013
727.5946700000001,-190.29134,1451.22192
725.82898,-188.9214,1451.67029
724.37036,-187.85645,1452.30859
723.6145,-187.37698,1452.79907
722.33258,-186.31525,1453.54114
721.29523,-185.64157,1453.9710699999998
720.23657,-184.40015,1454.66504
719.09204,-183.81107,1455.90759
718.26801,-183.15747,1456.15454
717.40704,-182.7003,1456.65051
716.4209,-181.72368,1457.25037
715.61237,-181.20074,1457.34082
714.66492,-180.54933,1457.8313
713.83588,-180.24167,1458.12878
713.13666,-179.27338,1458.96631
712.75305,-179.11125,1459.35132
711.91888,-178.83958,1459.78528
711.32483,-178.58917,1459.94714
710.54047,-178.58035,1460.26624
709.34204,-177.94363,1460.2800300000001
708.6159700000001,-178.01526,1460.71619
707.99194,-178.11945,1460.81506
707.52197,-178.38841000000002,1460.87024
706.86951,-178.40811000000002,1461.10852
705.88025,-178.493,1460.93762
705.18817,-178.98531,1461.2210699999998
704.8226900000001,-179.29575,1461.02368
704.7468299999999,-179.38124,1460.86169
704.19635,-180.1095,1460.8291
703.93958,-180.59226999999998,1460.85925
703.86755,-180.97541999999999,1460.92749
704.3374,-181.90918,1460.5203900000001
704.8292799999999,-182.20498999999998,1460.61523
704.3241,-183.12003,1460.59631
704.21509,-183.8528,1460.22754
704.68512,-184.23407,1459.93726
704.75671,-185.07181,1459.67468
704.87213,-185.75481000000002,1459.59961
705.50641,-186.82211,1458.88745
705.42615,-187.68497,1458.88196
705.50995,-189.11943,1458.60571
705.92053,-189.83455,1458.43591
706.1884200000001,-191.35933,1458.04846
706.51044,-192.57744,1457.28552
706.94775,-194.28047,1457.0792199999999
707.40027,-195.10765,1456.70532
707.5414400000001,-196.51221999999999,1455.84839
708.81873,-198.39996000000002,1455.95374
708.3200099999999,-199.91451,1455.1539300000002
709.1610099999999,-201.91901000000001,1454.60718
709.95465,-203.14627,1453.8385
710.7846099999999,-205.47215,1453.28845
710.88062,-207.14528,1452.89185
711.56232,-208.48926,1452.22351
712.3507099999999,-210.39527999999999,1451.50452
713.64288,-212.60893,1450.88611
714.1557,-214.20817999999997,1450.26831
715.48065,-215.99274,1449.61255
716.685,-217.95779,1449.36194
718.02716,-219.83716,1448.58496
718.25067,-222.03951,1448.10254
719.68781,-223.54445,1447.42053
720.66132,-226.08232,1446.71838
