PathFileType,4,(X/Y/Z),C:\Documents and Settings\HP lab\Desktop\Oct8 tutorial\Motion_1.trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,120,2400,23,mm,120,1,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,Front.Head,,,Top.Head,,,Rear.Head,,,L.Shoulder,,,R.Shoulder,,,L.Elbow,,,R.Elbow,,,L.Wrist,,,R.Wrist,,,L.ASIS,,,R.ASIS,,,Sacral,,,L.Knee,,,R.Knee,,,L.Ankle,,,R.Ankle,,,L.Toe,,,R.Toe,,,L.Heel,,,R.Heel,,,R.Thigh,,,R.Scapula,,,R.Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,838.15582,-79.3485,1719.92358,691.46814,-102.33128,1724.50195,666.94678,-100.99263,1625.92383,698.56049,122.79372,1437.25513,804.28564,-272.78156,1419.70105,605.90283,229.83716,1252.7323,753.51935,-402.68405,1207.6438,659.64899,436.49487,1068.15942,876.10205,-503.99429,991.27356,757.9137,79.70889,963.63696,840.80658,-116.62355,954.70166,,,,704.67401,120.8912,471.55499,838.13257,-150.5363,483.0939,564.63367,52.38165,102.84988,815.07111,-178.03127,64.93099,770.29388,109.94395,2.54561,977.21954,4.63918,-2.71397,491.57196,-26.87672,33.93192,739.0835,-196.8015,1.98653,886.44775,-127.90691,695.96686,674.55212,-227.78821,1357.75635,767.026,-177.91461,1627.48083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008,836.02515,-77.01157,1720.00647,689.10138,-100.25947,1724.3916,663.98053,-99.08998,1625.86316,696.63214,124.17419,1436.7168,802.73956,-270.88312,1420.0415,604.04095,231.37405,1251.98718,751.67688,-400.85797,1208.09302,659.60193,437.50208,1067.3833,874.85168,-501.91644,991.37286,754.82452,81.05723,963.77948,837.03583,-115.09679,954.57898,609.63367,-89.07623,993.49121,700.8208,120.0841,471.83862,836.97186,-149.23322,482.97058,563.75385,51.96975,101.73846,815.17603,-178.12086,65.19262,770.13031,110.15758,3.2178,977.19714,4.67656,-2.69374,491.52899,-27.42106,32.16306,739.0835,-196.8015,1.98653,884.3988,-126.54044,696.46844,672.54974,-226.01834,1358.32385,765.19067,-176.05113,1627.35059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.017,834.04718,-74.53049,1719.59985,686.72961,-97.73016,1724.08435,662.26147,-96.7542,1625.78918,694.51605,126.0694,1436.22046,800.62561,-268.98596,1420.01843,601.1488,233.25702,1251.52954,749.87598,-399.28091,1208.44434,659.3302,438.24158,1066.83801,873.14465,-498.52332,991.24896,751.86658,82.33221,963.63019,834.97321,-113.19353,954.77173,,,,697.65137,119.16052,471.80295,835.69116,-147.6494,483.03284,563.56519,51.25834,100.04852,814.99927,-177.99904,65.04116,770.078,110.2302,3.36833,977.26477,4.69292,-2.8022,491.63647,-27.56836,30.15335,739.0835,-196.8015,1.98653,881.94037,-124.67084,696.21423,670.93982,-224.54372,1358.57166,763.62543,-173.7718,1627.17114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.025,831.13019,-71.54132,1720.02673,684.95844,-95.65383,1723.77002,661.26312,-94.43165,1625.36572,692.26697,128.2374,1435.60681,799.76599,-266.84521,1420.03918,599.94824,235.093,1250.60815,748.3056,-397.36514,1208.77856,658.19733,439.5408,1066.10217,872.30994,-495.42926,991.47125,748.29938,83.91663,963.68854,831.98334,-111.76999,954.72546,604.02838,-87.09695,993.56787,694.98901,117.95816,471.21677,834.46753,-146.55615,483.56622,562.82971,50.62331,99.08866,814.93573,-177.89993,65.51335,769.62402,110.3224,3.45916,977.23022,4.67933,-2.74495,490.6192,-27.94846,29.04267,738.92926,-196.87352,2.0099,879.74786,-123.48494,696.68823,669.12915,-223.02548,1359.14282,761.66107,-171.41727,1626.95764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.033,829.62915,-69.33403,1719.5105,682.65143,-93.12393,1723.44348,657.51935,-93.11112,1625.02576,690.25708,129.95058,1435.11926,798.23273,-264.57349,1420.00342,597.5238,236.61427,1250.01978,747.02344,-395.65085,1208.85925,657.37408,440.39404,1064.81604,871.1618,-492.49411,990.8338,744.9613,85.28739,963.65601,829.47955,-110.73928,954.36804,,,,691.53638,116.72947,471.34631,832.56836,-145.44695,483.62173,562.43317,50.17053,97.96788,814.76147,-177.76619,65.64544,769.64465,110.01743,3.40702,977.26477,4.69292,-2.8022,490.22202,-28.98011,27.84015,739.0835,-196.8015,1.98653,877.35638,-121.94413,696.935,667.68799,-221.2894,1359.2821,760.0401,-168.69449,1627.33044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.042,827.19202,-66.06461,1719.50037,680.90771,-90.70929,1723.32813,658.12762,-89.83611,1624.3075,687.96027,132.52968,1434.5863,796.47156,-262.60544,1419.8894,595.89691,238.4693,1248.97717,745.76569,-393.608,1209.07104,658.09369,440.70462,1063.58875,870.35376,-488.27774,991.10809,742.06073,86.67117,963.55865,825.47516,-109.08171,954.48621,,,,690.35046,114.89016,471.17065,831.21613,-144.59875,484.12494,562.3811,49.64923,97.42262,814.63385,-177.63278,65.93118,769.55164,110.02501,3.32938,977.19873,4.7393,-2.75368,489.96552,-29.37116,26.71252,738.74304,-196.64087,2.16007,873.68665,-119.89442,696.78845,664.64075,-219.91469,1360.23999,758.45142,-166.16846,1627.10461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.05,824.97937,-62.52267,1719.97632,679.24487,-87.97004,1723.19385,654.18652,-88.23037,1624.80872,686.1991,134.41399,1433.87634,795.20325,-260.59781,1420.0249,593.16791,240.34041,1248.24561,744.14758,-391.67627,1209.36108,656.75592,441.42032,1062.48792,868.9967,-484.25967,990.53577,738.39337,87.90096,963.70929,822.5752,-107.92879,954.18103,,,,687.79309,113.27581,470.2771,829.94482,-142.82956,484.33743,562.20776,49.72709,96.44981,814.57043,-177.51144,66.49805,769.62201,110.27266,3.36562,977.35364,4.6826,-2.85321,489.55829,-29.61654,25.48034,738.64392,-196.52925,2.29256,872.03925,-118.56291,697.26868,663.07336,-218.02432,1360.63757,756.44238,-163.40935,1627.04932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.058,822.40613,-59.88734,1719.80566,676.24817,-85.36848,1722.58667,652.67151,-85.61271,1623.8053,684.18616,136.40404,1433.13025,793.60315,-258.22592,1420.10156,591.45532,241.98862,1247.23352,743.04309,-389.6579,1209.41931,656.81451,441.8793,1060.75525,867.90222,-480.08603,989.98035,735.48206,89.15649,963.68707,819.24225,-107.2782,954.55463,591.54175,-82.40771,993.91724,685.41479,112.31648,470.79477,828.32892,-141.6924,484.20325,561.37616,48.84787,95.43403,814.44672,-176.79553,66.90364,769.7168,109.83311,3.02983,977.2663,4.75565,-2.86214,490.64462,-29.62465,23.64698,738.75879,-196.52043,2.57483,868.99475,-117.04814,697.55188,661.11725,-216.401,1361.14038,754.90454,-160.50404,1627.17468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.067,820.98358,-56.66279,1719.69287,674.69269,-82.60858,1722.31616,651.09869,-82.89603,1623.25781,682.21637,138.69279,1432.62903,791.87488,-255.5092,1420.3833,589.37665,243.95491,1246.37109,741.76263,-387.76385,1209.5813,655.71796,442.52512,1059.57214,867.18109,-476.30521,989.84369,732.41339,90.11987,963.85632,816.51276,-106.45325,955.23425,587.99634,-81.98481,994.10712,682.95508,110.24594,470.86423,827.30896,-139.65883,484.34241,561.95441,48.34994,94.66605,814.15149,-176.76744,67.13656,769.52606,109.95591,2.741,977.29034,4.78052,-2.9077,490.06418,-29.95671,22.6991,738.60419,-196.39265,2.68243,866.1001,-115.8422,697.42242,659.11023,-214.49731,1361.79724,753.01776,-157.98602,1627.41479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.075,818.65527,-53.17803,1719.92639,672.02844,-79.72152,1722.14514,650.02197,-80.35612,1623.25354,680.07581,140.8045,1431.9375,790.74121,-253.27254,1420.54016,587.4635,245.63794,1245.6781,740.42877,-385.23145,1209.97363,655.23608,443.04312,1057.70251,865.99469,-471.73331,989.34351,729.2981,91.24139,963.64728,811.60535,-104.71613,954.08734,,,,680.47491,108.78408,470.31601,826.86639,-139.1082,485.17804,562.09601,47.91049,94.16978,814.16473,-176.21423,67.33794,769.53406,109.96725,2.4563,977.37097,4.88959,-2.88777,489.43991,-31.06964,22.29018,738.79279,-196.32228,3.00587,863.65454,-114.51401,698.51135,657.66974,-212.89325,1362.41858,751.27173,-154.8284,1627.54907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.083,815.901,-49.85357,1719.82703,669.96362,-76.49358,1721.91785,648.00702,-77.79703,1623.06628,678.28253,142.97574,1431.46802,789.07532,-251.30319,1420.72595,585.2301,247.32896,1244.74414,739.5296,-382.93997,1210.18628,653.85516,443.68369,1056.29211,865.34003,-466.80161,988.84497,726.24976,92.06419,963.77686,808.25562,-104.66069,954.39948,583.23962,-80.71062,993.98364,677.2605,107.80342,471.17694,824.48242,-137.61195,485.48468,561.73181,47.32458,93.53779,813.99066,-176.05682,67.64104,769.57025,109.93861,2.28098,977.29962,4.81336,-3.01642,489.10135,-31.32472,21.67922,738.79706,-196.26602,3.08758,860.6709,-113.86191,699.03503,655.71686,-211.01692,1363.4021,749.93964,-152.08177,1627.8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.092,813.34991,-46.47477,1719.83691,668.2981,-73.8951,1721.84717,645.86041,-75.29134,1622.26758,676.28448,145.2018,1430.74207,787.414,-248.50856,1420.94653,583.41339,248.97383,1243.95361,737.90149,-380.00552,1210.57751,652.6507,444.06879,1054.73254,864.07269,-461.93286,988.2179,723.28705,92.90622,963.64294,804.27643,-104.11163,954.17822,,,,675.6076,106.26574,471.08557,823.12476,-137.0575,485.87601,561.43323,46.80067,92.93092,813.83093,-176.02045,67.91511,769.4743,109.98125,2.31159,977.47321,4.92415,-2.94799,489.50607,-31.21675,20.92126,739.00342,-196.11703,3.30209,858.34216,-112.43811,699.83972,653.9082,-208.67986,1364.08557,748.16724,-149.16589,1628.11633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.1,811.74475,-43.12723,1720.16577,666.08331,-70.74348,1721.50024,644.31848,-72.20275,1622.4635,674.85297,147.74097,1430.25671,786.38098,-245.83568,1421.27637,581.15125,250.38571,1243.09766,736.39923,-377.98834,1210.67688,651.44977,444.64691,1053.07251,863.21924,-456.80533,987.8045,720.45343,93.47314,963.78137,800.96088,-103.795,954.08087,,,,673.07178,104.42404,471.2731,821.9563,-135.98026,486.42792,561.70447,45.55078,92.21204,813.70276,-175.75177,68.72232,769.31219,110.01577,2.20262,977.4566,4.88388,-3.01059,488.69461,-31.91481,20.32179,738.78345,-196.11653,3.62477,855.44202,-111.26596,700.4386,651.99866,-206.73941,1365.14783,747.09265,-146.24518,1628.28601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
